state_name,district_name,season,crop,rainfall,temp
Andhra Pradesh,CHITTOOR,july,maize,,
Andhra Pradesh,CHITTOOR,august,broccoil,,
Andhra Pradesh,CHITTOOR,september,peas,,
Andhra Pradesh,CHITTOOR,october,peas,,
Andhra Pradesh,CHITTOOR,november,peas,,
Andhra Pradesh,CHITTOOR,december,bottle gourd,,
Andhra Pradesh,CHITTOOR,january,tomato,,
Andhra Pradesh,CHITTOOR,february,chilli,,
Andhra Pradesh,CHITTOOR,march,chilli,,
Andhra Pradesh,CHITTOOR,april,tomato,,
Andhra Pradesh,CHITTOOR,may,tomato,,
Andhra Pradesh,CHITTOOR,june,tomato,,
Andhra Pradesh,CHITTOOR,july,groundnut,,
Andhra Pradesh,CHITTOOR,august,carrot,,
Andhra Pradesh,CHITTOOR,september,spinach,,
Andhra Pradesh,CHITTOOR,october,spinach,,
Andhra Pradesh,CHITTOOR,november,spinach,,
Andhra Pradesh,CHITTOOR,december,potato,,
Andhra Pradesh,CHITTOOR,february,pomegranet,,
Andhra Pradesh,CHITTOOR,march,pomegranet,,
Andhra Pradesh,CHITTOOR,march,tomato,,
Andhra Pradesh,CHITTOOR,may,pepper,,
Andhra Pradesh,CHITTOOR,june,pepper,,
Andhra Pradesh,CHITTOOR,june,rice,,
Andhra Pradesh,CHITTOOR,july,rice,,
Andhra Pradesh,CHITTOOR,november,bottle gourd,,
Andhra Pradesh,CHITTOOR,october,potato,,
Andhra Pradesh,CHITTOOR,november,potato,,
Andhra Pradesh,CHITTOOR,december,okra,,
Andhra Pradesh,EAST GODAVARI,january,sugarcane,,
Andhra Pradesh,EAST GODAVARI,february,sugarcane,,
Andhra Pradesh,EAST GODAVARI,march,sugarcane,,
Andhra Pradesh,EAST GODAVARI,april,chilli,,
Andhra Pradesh,EAST GODAVARI,may,tomato,,
Andhra Pradesh,EAST GODAVARI,june,maize,,
Andhra Pradesh,EAST GODAVARI,july,maize,,
Andhra Pradesh,EAST GODAVARI,august,broccoil,,
Andhra Pradesh,EAST GODAVARI,september,peas,,
Andhra Pradesh,EAST GODAVARI,october,peas,,
Andhra Pradesh,EAST GODAVARI,november,peas,,
Andhra Pradesh,EAST GODAVARI,december,bottle gourd,,
Andhra Pradesh,EAST GODAVARI,january,tomato,,
Andhra Pradesh,EAST GODAVARI,february,chilli,,
Andhra Pradesh,EAST GODAVARI,march,chilli,,
Andhra Pradesh,EAST GODAVARI,april,tomato,,
Andhra Pradesh,EAST GODAVARI,may,tomato,,
Andhra Pradesh,EAST GODAVARI,june,tomato,,
Andhra Pradesh,EAST GODAVARI,july,groundnut,,
Andhra Pradesh,EAST GODAVARI,august,carrot,,
Andhra Pradesh,EAST GODAVARI,september,spinach,,
Andhra Pradesh,EAST GODAVARI,october,spinach,,
Andhra Pradesh,EAST GODAVARI,november,spinach,,
Andhra Pradesh,EAST GODAVARI,december,potato,,
Andhra Pradesh,EAST GODAVARI,february,pomegranet,,
Andhra Pradesh,EAST GODAVARI,march,pomegranet,,
Andhra Pradesh,EAST GODAVARI,march,tomato,,
Andhra Pradesh,EAST GODAVARI,may,pepper,,
Andhra Pradesh,EAST GODAVARI,june,pepper,,
Andhra Pradesh,EAST GODAVARI,june,rice,,
Andhra Pradesh,EAST GODAVARI,july,rice,,
Andhra Pradesh,EAST GODAVARI,november,bottle gourd,,
Andhra Pradesh,EAST GODAVARI,october,potato,,
Andhra Pradesh,EAST GODAVARI,november,potato,,
Andhra Pradesh,EAST GODAVARI,december,okra,,
Andhra Pradesh,GUNTUR,january,sugarcane,,
Andhra Pradesh,GUNTUR,february,sugarcane,,
Andhra Pradesh,GUNTUR,march,sugarcane,,
Andhra Pradesh,GUNTUR,april,chilli,,
Andhra Pradesh,GUNTUR,may,tomato,,
Andhra Pradesh,GUNTUR,june,maize,,
Andhra Pradesh,GUNTUR,july,maize,,
Andhra Pradesh,GUNTUR,august,broccoil,,
Andhra Pradesh,GUNTUR,september,peas,,
Andhra Pradesh,GUNTUR,october,peas,,
Andhra Pradesh,GUNTUR,november,peas,,
Andhra Pradesh,GUNTUR,december,bottle gourd,,
Andhra Pradesh,GUNTUR,january,tomato,,
Andhra Pradesh,GUNTUR,february,chilli,,
Andhra Pradesh,GUNTUR,march,chilli,,
Andhra Pradesh,GUNTUR,april,tomato,,
Andhra Pradesh,GUNTUR,may,tomato,,
Andhra Pradesh,GUNTUR,june,tomato,,
Andhra Pradesh,GUNTUR,july,groundnut,,
Andhra Pradesh,GUNTUR,august,carrot,,
Andhra Pradesh,GUNTUR,september,spinach,,
Andhra Pradesh,GUNTUR,october,spinach,,
Andhra Pradesh,GUNTUR,november,spinach,,
Andhra Pradesh,GUNTUR,december,potato,,
Andhra Pradesh,GUNTUR,february,pomegranet,,
Andhra Pradesh,GUNTUR,march,pomegranet,,
Andhra Pradesh,GUNTUR,march,tomato,,
Andhra Pradesh,GUNTUR,may,pepper,,
Andhra Pradesh,GUNTUR,june,pepper,,
Andhra Pradesh,GUNTUR,june,rice,,
Andhra Pradesh,GUNTUR,july,rice,,
Andhra Pradesh,GUNTUR,november,bottle gourd,,
Andhra Pradesh,GUNTUR,october,potato,,
Andhra Pradesh,GUNTUR,november,potato,,
Andhra Pradesh,GUNTUR,december,okra,,
Andhra Pradesh,VISAKHAPATANAM,january,sugarcane,,
Andhra Pradesh,VISAKHAPATANAM,february,sugarcane,,
Andhra Pradesh,VISAKHAPATANAM,march,sugarcane,,
Andhra Pradesh,VISAKHAPATANAM,april,chilli,,
Andhra Pradesh,VISAKHAPATANAM,may,tomato,,
Andhra Pradesh,VISAKHAPATANAM,june,maize,,
Andhra Pradesh,VISAKHAPATANAM,july,maize,,
Andhra Pradesh,VISAKHAPATANAM,august,broccoil,,
Andhra Pradesh,VISAKHAPATANAM,september,peas,,
Andhra Pradesh,VISAKHAPATANAM,october,peas,,
Andhra Pradesh,VISAKHAPATANAM,november,peas,,
Andhra Pradesh,VISAKHAPATANAM,december,bottle gourd,,
Andhra Pradesh,VISAKHAPATANAM,january,tomato,,
Andhra Pradesh,VISAKHAPATANAM,february,chilli,,
Andhra Pradesh,VISAKHAPATANAM,march,chilli,,
Andhra Pradesh,VISAKHAPATANAM,april,tomato,,
Andhra Pradesh,VISAKHAPATANAM,may,tomato,,
Andhra Pradesh,VISAKHAPATANAM,june,tomato,,
Andhra Pradesh,VISAKHAPATANAM,july,groundnut,,
Andhra Pradesh,VISAKHAPATANAM,august,carrot,,
Andhra Pradesh,VISAKHAPATANAM,september,spinach,,
Andhra Pradesh,VISAKHAPATANAM,october,spinach,,
Andhra Pradesh,VISAKHAPATANAM,november,spinach,,
Andhra Pradesh,VISAKHAPATANAM,december,potato,,
Andhra Pradesh,VISAKHAPATANAM,february,pomegranet,,
Andhra Pradesh,VISAKHAPATANAM,march,pomegranet,,
Andhra Pradesh,VISAKHAPATANAM,march,tomato,,
Andhra Pradesh,VISAKHAPATANAM,may,pepper,,
Andhra Pradesh,VISAKHAPATANAM,june,pepper,,
Andhra Pradesh,VISAKHAPATANAM,june,rice,,
Andhra Pradesh,VISAKHAPATANAM,july,rice,,
Andhra Pradesh,VISAKHAPATANAM,november,bottle gourd,,
Andhra Pradesh,VISAKHAPATANAM,october,potato,,
Andhra Pradesh,VISAKHAPATANAM,november,potato,,
Andhra Pradesh,VISAKHAPATANAM,december,okra,,
Andhra Pradesh,VIZIANAGARAM,january,sugarcane,,
Andhra Pradesh,VIZIANAGARAM,february,sugarcane,,
Andhra Pradesh,VIZIANAGARAM,march,sugarcane,,
Andhra Pradesh,VIZIANAGARAM,april,chilli,,
Andhra Pradesh,VIZIANAGARAM,may,tomato,,
Andhra Pradesh,VIZIANAGARAM,june,maize,,
Andhra Pradesh,VIZIANAGARAM,july,maize,,
Andhra Pradesh,VIZIANAGARAM,august,broccoil,,
Andhra Pradesh,VIZIANAGARAM,september,peas,,
Andhra Pradesh,VIZIANAGARAM,october,peas,,
Andhra Pradesh,VIZIANAGARAM,november,peas,,
Andhra Pradesh,VIZIANAGARAM,december,bottle gourd,,
Andhra Pradesh,VIZIANAGARAM,january,tomato,,
Andhra Pradesh,VIZIANAGARAM,february,chilli,,
Andhra Pradesh,VIZIANAGARAM,march,chilli,,
Andhra Pradesh,VIZIANAGARAM,april,tomato,,
Andhra Pradesh,VIZIANAGARAM,may,tomato,,
Andhra Pradesh,VIZIANAGARAM,june,tomato,,
Andhra Pradesh,VIZIANAGARAM,july,groundnut,,
Andhra Pradesh,VIZIANAGARAM,august,carrot,,
Andhra Pradesh,VIZIANAGARAM,september,spinach,,
Andhra Pradesh,VIZIANAGARAM,october,spinach,,
Andhra Pradesh,VIZIANAGARAM,november,spinach,,
Andhra Pradesh,VIZIANAGARAM,december,potato,,
Andhra Pradesh,VIZIANAGARAM,february,pomegranet,,
Andhra Pradesh,VIZIANAGARAM,march,pomegranet,,
Andhra Pradesh,VIZIANAGARAM,march,tomato,,
Andhra Pradesh,VIZIANAGARAM,may,pepper,,
Andhra Pradesh,VIZIANAGARAM,june,pepper,,
Andhra Pradesh,VIZIANAGARAM,june,rice,,
Andhra Pradesh,VIZIANAGARAM,july,rice,,
Andhra Pradesh,VIZIANAGARAM,november,bottle gourd,,
Andhra Pradesh,VIZIANAGARAM,october,potato,,
Andhra Pradesh,VIZIANAGARAM,november,potato,,
Andhra Pradesh,VIZIANAGARAM,december,okra,,
Andhra Pradesh,WEST GODAVARI,january,sugarcane,,
Andhra Pradesh,WEST GODAVARI,february,sugarcane,,
Andhra Pradesh,WEST GODAVARI,march,sugarcane,,
Andhra Pradesh,WEST GODAVARI,april,chilli,,
Andhra Pradesh,WEST GODAVARI,may,tomato,,
Andhra Pradesh,WEST GODAVARI,june,maize,,
Andhra Pradesh,WEST GODAVARI,july,maize,,
Andhra Pradesh,WEST GODAVARI,august,broccoil,,
Andhra Pradesh,WEST GODAVARI,september,peas,,
Andhra Pradesh,WEST GODAVARI,october,peas,,
Andhra Pradesh,WEST GODAVARI,november,peas,,
Andhra Pradesh,WEST GODAVARI,december,bottle gourd,,
Andhra Pradesh,WEST GODAVARI,january,tomato,,
Andhra Pradesh,WEST GODAVARI,february,chilli,,
Andhra Pradesh,WEST GODAVARI,march,chilli,,
Andhra Pradesh,WEST GODAVARI,april,tomato,,
Andhra Pradesh,WEST GODAVARI,may,tomato,,
Andhra Pradesh,WEST GODAVARI,june,tomato,,
Andhra Pradesh,WEST GODAVARI,july,groundnut,,
Andhra Pradesh,WEST GODAVARI,august,carrot,,
Andhra Pradesh,WEST GODAVARI,september,spinach,,
Andhra Pradesh,WEST GODAVARI,october,spinach,,
Andhra Pradesh,WEST GODAVARI,november,spinach,,
Andhra Pradesh,WEST GODAVARI,december,potato,,
Andhra Pradesh,WEST GODAVARI,february,pomegranet,,
Andhra Pradesh,WEST GODAVARI,march,pomegranet,,
Andhra Pradesh,WEST GODAVARI,march,tomato,,
Andhra Pradesh,WEST GODAVARI,may,pepper,,
Andhra Pradesh,WEST GODAVARI,june,pepper,,
Andhra Pradesh,WEST GODAVARI,june,rice,,
Andhra Pradesh,WEST GODAVARI,july,rice,,
Andhra Pradesh,WEST GODAVARI,november,bottle gourd,,
Andhra Pradesh,WEST GODAVARI,october,potato,,
Andhra Pradesh,WEST GODAVARI,november,potato,,
Andhra Pradesh,WEST GODAVARI,december,okra,,
Arunachal Pradesh,ANJAW,january,sugarcane,,
Arunachal Pradesh,ANJAW,february,sugarcane,,
Arunachal Pradesh,ANJAW,march,sugarcane,,
Arunachal Pradesh,ANJAW,april,chilli,,
Arunachal Pradesh,ANJAW,may,millets,,
Arunachal Pradesh,ANJAW,june,rice,,
Arunachal Pradesh,ANJAW,july,rice,,
Arunachal Pradesh,ANJAW,august,millets,,
Arunachal Pradesh,ANJAW,september,millets,,
Arunachal Pradesh,ANJAW,october,potato,,
Arunachal Pradesh,ANJAW,november,wheat,,
Arunachal Pradesh,ANJAW,december,wheat,,
Arunachal Pradesh,ANJAW,june,millets,,
Arunachal Pradesh,ANJAW,july,millets,,
Arunachal Pradesh,ANJAW,may,ginger,,
Arunachal Pradesh,ANJAW,november,potato,,
Arunachal Pradesh,ANJAW,december,potato,,
Arunachal Pradesh,ANJAW,january,turmeric,,
Arunachal Pradesh,ANJAW,february,turmeric,,
Arunachal Pradesh,ANJAW,march,turmeric,,
Arunachal Pradesh,ANJAW,december,sweet patato,,
Arunachal Pradesh,ANJAW,january,sweet patato,,
Arunachal Pradesh,ANJAW,january,pumpkin,,
Arunachal Pradesh,ANJAW,february,pumpkin,,
Arunachal Pradesh,ANJAW,march,pumpkin,,
Arunachal Pradesh,ANJAW,june,brinjal,,
Arunachal Pradesh,ANJAW,july,brinjal,,
Arunachal Pradesh,ANJAW,august,brinjal,,
Arunachal Pradesh,ANJAW,february,chilli,,
Arunachal Pradesh,ANJAW,march,chilli,,
Arunachal Pradesh,ANJAW,june,oilseeds,,
Arunachal Pradesh,ANJAW,july,oilseeds,,
Arunachal Pradesh,ANJAW,august,oilseeds,,
Arunachal Pradesh,ANJAW,september,oilseeds,,
Arunachal Pradesh,CHANGLANG,january,sugarcane,,
Arunachal Pradesh,CHANGLANG,february,sugarcane,,
Arunachal Pradesh,CHANGLANG,march,sugarcane,,
Arunachal Pradesh,CHANGLANG,april,chilli,,
Arunachal Pradesh,CHANGLANG,may,millets,,
Arunachal Pradesh,CHANGLANG,june,rice,,
Arunachal Pradesh,CHANGLANG,july,rice,,
Arunachal Pradesh,CHANGLANG,august,millets,,
Arunachal Pradesh,CHANGLANG,september,millets,,
Arunachal Pradesh,CHANGLANG,october,potato,,
Arunachal Pradesh,CHANGLANG,november,wheat,,
Arunachal Pradesh,CHANGLANG,december,wheat,,
Arunachal Pradesh,CHANGLANG,june,millets,,
Arunachal Pradesh,CHANGLANG,july,millets,,
Arunachal Pradesh,CHANGLANG,may,ginger,,
Arunachal Pradesh,CHANGLANG,november,potato,,
Arunachal Pradesh,CHANGLANG,december,potato,,
Arunachal Pradesh,CHANGLANG,january,turmeric,,
Arunachal Pradesh,CHANGLANG,february,turmeric,,
Arunachal Pradesh,CHANGLANG,march,turmeric,,
Arunachal Pradesh,CHANGLANG,december,sweet patato,,
Arunachal Pradesh,CHANGLANG,january,sweet patato,,
Arunachal Pradesh,CHANGLANG,january,pumpkin,,
Arunachal Pradesh,CHANGLANG,february,pumpkin,,
Arunachal Pradesh,CHANGLANG,march,pumpkin,,
Arunachal Pradesh,CHANGLANG,june,brinjal,,
Arunachal Pradesh,CHANGLANG,july,brinjal,,
Arunachal Pradesh,CHANGLANG,august,brinjal,,
Arunachal Pradesh,CHANGLANG,february,chilli,,
Arunachal Pradesh,CHANGLANG,march,chilli,,
Arunachal Pradesh,CHANGLANG,june,oilseeds,,
Arunachal Pradesh,CHANGLANG,july,oilseeds,,
Arunachal Pradesh,CHANGLANG,august,oilseeds,,
Arunachal Pradesh,CHANGLANG,september,oilseeds,,
Arunachal Pradesh,DIBANG VALLEY,january,sugarcane,,
Arunachal Pradesh,DIBANG VALLEY,february,sugarcane,,
Arunachal Pradesh,DIBANG VALLEY,march,sugarcane,,
Arunachal Pradesh,DIBANG VALLEY,april,chilli,,
Arunachal Pradesh,DIBANG VALLEY,may,millets,,
Arunachal Pradesh,DIBANG VALLEY,june,rice,,
Arunachal Pradesh,DIBANG VALLEY,july,rice,,
Arunachal Pradesh,DIBANG VALLEY,august,millets,,
Arunachal Pradesh,DIBANG VALLEY,september,millets,,
Arunachal Pradesh,DIBANG VALLEY,october,potato,,
Arunachal Pradesh,DIBANG VALLEY,november,wheat,,
Arunachal Pradesh,DIBANG VALLEY,december,wheat,,
Arunachal Pradesh,DIBANG VALLEY,june,millets,,
Arunachal Pradesh,DIBANG VALLEY,july,millets,,
Arunachal Pradesh,DIBANG VALLEY,may,ginger,,
Arunachal Pradesh,DIBANG VALLEY,november,potato,,
Arunachal Pradesh,DIBANG VALLEY,december,potato,,
Arunachal Pradesh,DIBANG VALLEY,january,turmeric,,
Arunachal Pradesh,DIBANG VALLEY,february,turmeric,,
Arunachal Pradesh,DIBANG VALLEY,march,turmeric,,
Arunachal Pradesh,DIBANG VALLEY,december,sweet patato,,
Arunachal Pradesh,DIBANG VALLEY,january,sweet patato,,
Arunachal Pradesh,DIBANG VALLEY,january,pumpkin,,
Arunachal Pradesh,DIBANG VALLEY,february,pumpkin,,
Arunachal Pradesh,DIBANG VALLEY,march,pumpkin,,
Arunachal Pradesh,DIBANG VALLEY,june,brinjal,,
Arunachal Pradesh,DIBANG VALLEY,july,brinjal,,
Arunachal Pradesh,DIBANG VALLEY,august,brinjal,,
Arunachal Pradesh,DIBANG VALLEY,february,chilli,,
Arunachal Pradesh,DIBANG VALLEY,march,chilli,,
Arunachal Pradesh,DIBANG VALLEY,june,oilseeds,,
Arunachal Pradesh,DIBANG VALLEY,july,oilseeds,,
Arunachal Pradesh,DIBANG VALLEY,august,oilseeds,,
Arunachal Pradesh,DIBANG VALLEY,september,oilseeds,,
Arunachal Pradesh,EAST KAMENG,january,sugarcane,,
Arunachal Pradesh,EAST KAMENG,february,sugarcane,,
Arunachal Pradesh,EAST KAMENG,march,sugarcane,,
Arunachal Pradesh,EAST KAMENG,april,chilli,,
Arunachal Pradesh,EAST KAMENG,may,millets,,
Arunachal Pradesh,EAST KAMENG,june,rice,,
Arunachal Pradesh,EAST KAMENG,july,rice,,
Arunachal Pradesh,EAST KAMENG,august,millets,,
Arunachal Pradesh,EAST KAMENG,september,millets,,
Arunachal Pradesh,EAST KAMENG,october,potato,,
Arunachal Pradesh,EAST KAMENG,november,wheat,,
Arunachal Pradesh,EAST KAMENG,december,wheat,,
Arunachal Pradesh,EAST KAMENG,june,millets,,
Arunachal Pradesh,EAST KAMENG,july,millets,,
Arunachal Pradesh,EAST KAMENG,may,ginger,,
Arunachal Pradesh,EAST KAMENG,november,potato,,
Arunachal Pradesh,EAST KAMENG,december,potato,,
Arunachal Pradesh,EAST KAMENG,january,turmeric,,
Arunachal Pradesh,EAST KAMENG,february,turmeric,,
Arunachal Pradesh,EAST KAMENG,march,turmeric,,
Arunachal Pradesh,EAST KAMENG,december,sweet patato,,
Arunachal Pradesh,EAST KAMENG,january,sweet patato,,
Arunachal Pradesh,EAST KAMENG,january,pumpkin,,
Arunachal Pradesh,EAST KAMENG,february,pumpkin,,
Arunachal Pradesh,EAST KAMENG,march,pumpkin,,
Arunachal Pradesh,EAST KAMENG,june,brinjal,,
Arunachal Pradesh,EAST KAMENG,july,brinjal,,
Arunachal Pradesh,EAST KAMENG,august,brinjal,,
Arunachal Pradesh,EAST KAMENG,february,chilli,,
Arunachal Pradesh,EAST KAMENG,march,chilli,,
Arunachal Pradesh,EAST KAMENG,june,oilseeds,,
Arunachal Pradesh,EAST KAMENG,july,oilseeds,,
Arunachal Pradesh,EAST KAMENG,august,oilseeds,,
Arunachal Pradesh,EAST KAMENG,september,oilseeds,,
Arunachal Pradesh,EAST SIANG,january,sugarcane,,
Arunachal Pradesh,EAST SIANG,february,sugarcane,,
Arunachal Pradesh,EAST SIANG,march,sugarcane,,
Arunachal Pradesh,EAST SIANG,april,chilli,,
Arunachal Pradesh,EAST SIANG,may,millets,,
Arunachal Pradesh,EAST SIANG,june,rice,,
Arunachal Pradesh,EAST SIANG,july,rice,,
Arunachal Pradesh,EAST SIANG,august,millets,,
Arunachal Pradesh,EAST SIANG,september,millets,,
Arunachal Pradesh,EAST SIANG,october,potato,,
Arunachal Pradesh,EAST SIANG,november,wheat,,
Arunachal Pradesh,EAST SIANG,december,wheat,,
Arunachal Pradesh,EAST SIANG,june,millets,,
Arunachal Pradesh,EAST SIANG,july,millets,,
Arunachal Pradesh,EAST SIANG,may,ginger,,
Arunachal Pradesh,EAST SIANG,november,potato,,
Arunachal Pradesh,EAST SIANG,december,potato,,
Arunachal Pradesh,EAST SIANG,january,turmeric,,
Arunachal Pradesh,EAST SIANG,february,turmeric,,
Arunachal Pradesh,EAST SIANG,march,turmeric,,
Arunachal Pradesh,EAST SIANG,december,sweet patato,,
Arunachal Pradesh,EAST SIANG,january,sweet patato,,
Arunachal Pradesh,EAST SIANG,january,pumpkin,,
Arunachal Pradesh,EAST SIANG,february,pumpkin,,
Arunachal Pradesh,EAST SIANG,march,pumpkin,,
Arunachal Pradesh,EAST SIANG,june,brinjal,,
Arunachal Pradesh,EAST SIANG,july,brinjal,,
Arunachal Pradesh,EAST SIANG,august,brinjal,,
Arunachal Pradesh,EAST SIANG,february,chilli,,
Arunachal Pradesh,EAST SIANG,march,chilli,,
Arunachal Pradesh,EAST SIANG,june,oilseeds,,
Arunachal Pradesh,EAST SIANG,july,oilseeds,,
Arunachal Pradesh,EAST SIANG,august,oilseeds,,
Arunachal Pradesh,EAST SIANG,september,oilseeds,,
Arunachal Pradesh,KURUNG KUMEY,january,sugarcane,,
Arunachal Pradesh,KURUNG KUMEY,february,sugarcane,,
Arunachal Pradesh,KURUNG KUMEY,march,sugarcane,,
Arunachal Pradesh,KURUNG KUMEY,april,chilli,,
Arunachal Pradesh,KURUNG KUMEY,may,millets,,
Arunachal Pradesh,KURUNG KUMEY,june,rice,,
Arunachal Pradesh,KURUNG KUMEY,july,rice,,
Arunachal Pradesh,KURUNG KUMEY,august,millets,,
Arunachal Pradesh,KURUNG KUMEY,september,millets,,
Arunachal Pradesh,KURUNG KUMEY,october,potato,,
Arunachal Pradesh,KURUNG KUMEY,november,wheat,,
Arunachal Pradesh,KURUNG KUMEY,december,wheat,,
Arunachal Pradesh,KURUNG KUMEY,june,millets,,
Arunachal Pradesh,KURUNG KUMEY,july,millets,,
Arunachal Pradesh,KURUNG KUMEY,may,ginger,,
Arunachal Pradesh,KURUNG KUMEY,november,potato,,
Arunachal Pradesh,KURUNG KUMEY,december,potato,,
Arunachal Pradesh,KURUNG KUMEY,january,turmeric,,
Arunachal Pradesh,KURUNG KUMEY,february,turmeric,,
Arunachal Pradesh,KURUNG KUMEY,march,turmeric,,
Arunachal Pradesh,KURUNG KUMEY,december,sweet patato,,
Arunachal Pradesh,KURUNG KUMEY,january,sweet patato,,
Arunachal Pradesh,KURUNG KUMEY,january,pumpkin,,
Arunachal Pradesh,KURUNG KUMEY,february,pumpkin,,
Arunachal Pradesh,KURUNG KUMEY,march,pumpkin,,
Arunachal Pradesh,KURUNG KUMEY,june,brinjal,,
Arunachal Pradesh,KURUNG KUMEY,july,brinjal,,
Arunachal Pradesh,KURUNG KUMEY,august,brinjal,,
Arunachal Pradesh,KURUNG KUMEY,february,chilli,,
Arunachal Pradesh,KURUNG KUMEY,march,chilli,,
Arunachal Pradesh,KURUNG KUMEY,june,oilseeds,,
Arunachal Pradesh,KURUNG KUMEY,july,oilseeds,,
Arunachal Pradesh,KURUNG KUMEY,august,oilseeds,,
Arunachal Pradesh,KURUNG KUMEY,september,oilseeds,,
Arunachal Pradesh,LOHIT,january,sugarcane,,
Arunachal Pradesh,LOHIT,february,sugarcane,,
Arunachal Pradesh,LOHIT,march,sugarcane,,
Arunachal Pradesh,LOHIT,april,chilli,,
Arunachal Pradesh,LOHIT,may,millets,,
Arunachal Pradesh,LOHIT,june,rice,,
Arunachal Pradesh,LOHIT,july,rice,,
Arunachal Pradesh,LOHIT,august,millets,,
Arunachal Pradesh,LOHIT,september,millets,,
Arunachal Pradesh,LOHIT,october,potato,,
Arunachal Pradesh,LOHIT,november,wheat,,
Arunachal Pradesh,LOHIT,december,wheat,,
Arunachal Pradesh,LOHIT,june,millets,,
Arunachal Pradesh,LOHIT,july,millets,,
Arunachal Pradesh,LOHIT,may,ginger,,
Arunachal Pradesh,LOHIT,november,potato,,
Arunachal Pradesh,LOHIT,december,potato,,
Arunachal Pradesh,LOHIT,january,turmeric,,
Arunachal Pradesh,LOHIT,february,turmeric,,
Arunachal Pradesh,LOHIT,march,turmeric,,
Arunachal Pradesh,LOHIT,december,sweet patato,,
Arunachal Pradesh,LOHIT,january,sweet patato,,
Arunachal Pradesh,LOHIT,january,pumpkin,,
Arunachal Pradesh,LOHIT,february,pumpkin,,
Arunachal Pradesh,LOHIT,march,pumpkin,,
Arunachal Pradesh,LOHIT,june,brinjal,,
Arunachal Pradesh,LOHIT,july,brinjal,,
Arunachal Pradesh,LOHIT,august,brinjal,,
Arunachal Pradesh,LOHIT,february,chilli,,
Arunachal Pradesh,LOHIT,march,chilli,,
Arunachal Pradesh,LOHIT,june,oilseeds,,
Arunachal Pradesh,LOHIT,july,oilseeds,,
Arunachal Pradesh,LOHIT,august,oilseeds,,
Arunachal Pradesh,LOHIT,september,oilseeds,,
Arunachal Pradesh,LOWER DIBANG VALLEY,january,sugarcane,,
Arunachal Pradesh,LOWER DIBANG VALLEY,february,sugarcane,,
Arunachal Pradesh,LOWER DIBANG VALLEY,march,sugarcane,,
Arunachal Pradesh,LOWER DIBANG VALLEY,april,chilli,,
Arunachal Pradesh,LOWER DIBANG VALLEY,may,millets,,
Arunachal Pradesh,LOWER DIBANG VALLEY,june,rice,,
Arunachal Pradesh,LOWER DIBANG VALLEY,july,rice,,
Arunachal Pradesh,LOWER DIBANG VALLEY,august,millets,,
Arunachal Pradesh,LOWER DIBANG VALLEY,september,millets,,
Arunachal Pradesh,LOWER DIBANG VALLEY,october,potato,,
Arunachal Pradesh,LOWER DIBANG VALLEY,november,wheat,,
Arunachal Pradesh,LOWER DIBANG VALLEY,december,wheat,,
Arunachal Pradesh,LOWER DIBANG VALLEY,june,millets,,
Arunachal Pradesh,LOWER DIBANG VALLEY,july,millets,,
