state_name,district_name,season,crop
Andhra Pradesh,WEST GODAVARI,june,rice
Andhra Pradesh,WEST GODAVARI,june,bottlegourd
Andhra Pradesh,WEST GODAVARI,july,okra
Andhra Pradesh,WEST GODAVARI,november,wheat 
Andhra Pradesh,WEST GODAVARI,october,bajra
Andhra Pradesh,WEST GODAVARI,november,rice
Andhra Pradesh,WEST GODAVARI,december,bottlegourd
Arunachal Pradesh,ANJAW,january,okra
Arunachal Pradesh,ANJAW,february,pomegrenate
Arunachal Pradesh,ANJAW,march,groundnut
Arunachal Pradesh,ANJAW,april,apple
Arunachal Pradesh,ANJAW,may,mango
Arunachal Pradesh,ANJAW,june,potato
Arunachal Pradesh,ANJAW,july,tomato
Arunachal Pradesh,ANJAW,august,wheat 
Arunachal Pradesh,ANJAW,september,bajra
Arunachal Pradesh,ANJAW,october,rice
Arunachal Pradesh,ANJAW,november,bottlegourd
Arunachal Pradesh,ANJAW,december,okra
Arunachal Pradesh,ANJAW,june,wheat 
Arunachal Pradesh,ANJAW,july,bajra
Arunachal Pradesh,ANJAW,may,rice
Arunachal Pradesh,ANJAW,november,bottlegourd
Arunachal Pradesh,ANJAW,december,okra
Arunachal Pradesh,ANJAW,january,pomegrenate
Arunachal Pradesh,ANJAW,february,groundnut
Arunachal Pradesh,ANJAW,march,apple
Arunachal Pradesh,ANJAW,december,mango
Arunachal Pradesh,ANJAW,january,potato
Arunachal Pradesh,ANJAW,january,tomato
Arunachal Pradesh,ANJAW,february,wheat 
Arunachal Pradesh,ANJAW,march,bajra
Arunachal Pradesh,ANJAW,june,rice
Arunachal Pradesh,ANJAW,july,bottlegourd
Arunachal Pradesh,ANJAW,august,okra
Arunachal Pradesh,ANJAW,february,wheat 
Arunachal Pradesh,ANJAW,march,bajra
Arunachal Pradesh,ANJAW,june,rice
Arunachal Pradesh,ANJAW,july,bottlegourd
Arunachal Pradesh,ANJAW,august,okra
Arunachal Pradesh,ANJAW,september,pomegrenate
Arunachal Pradesh,CHANGLANG,january,groundnut
Arunachal Pradesh,CHANGLANG,february,apple
Arunachal Pradesh,CHANGLANG,march,mango
Arunachal Pradesh,CHANGLANG,april,potato
Arunachal Pradesh,CHANGLANG,may,tomato
Arunachal Pradesh,CHANGLANG,june,wheat 
Arunachal Pradesh,CHANGLANG,july,bajra
Arunachal Pradesh,CHANGLANG,august,rice
Arunachal Pradesh,CHANGLANG,september,bottlegourd
Arunachal Pradesh,CHANGLANG,october,okra
Arunachal Pradesh,CHANGLANG,november,wheat 
Arunachal Pradesh,CHANGLANG,december,bajra
Arunachal Pradesh,CHANGLANG,june,rice
Arunachal Pradesh,CHANGLANG,july,bottlegourd
Arunachal Pradesh,CHANGLANG,may,okra
Arunachal Pradesh,CHANGLANG,november,pomegrenate
Arunachal Pradesh,CHANGLANG,december,groundnut
Arunachal Pradesh,CHANGLANG,january,apple
Arunachal Pradesh,CHANGLANG,february,mango
Arunachal Pradesh,CHANGLANG,march,potato
Arunachal Pradesh,CHANGLANG,december,tomato
Arunachal Pradesh,CHANGLANG,january,wheat 
Arunachal Pradesh,CHANGLANG,january,bajra
Arunachal Pradesh,CHANGLANG,february,rice
Arunachal Pradesh,CHANGLANG,march,bottlegourd
Arunachal Pradesh,CHANGLANG,june,okra
Arunachal Pradesh,CHANGLANG,july,wheat 
Arunachal Pradesh,CHANGLANG,august,bajra
Arunachal Pradesh,CHANGLANG,february,rice
Arunachal Pradesh,CHANGLANG,march,bottlegourd
Arunachal Pradesh,CHANGLANG,june,okra
Arunachal Pradesh,CHANGLANG,july,pomegrenate
Arunachal Pradesh,CHANGLANG,august,groundnut
Arunachal Pradesh,CHANGLANG,september,apple
Arunachal Pradesh,DIBANG VALLEY,january,mango
Arunachal Pradesh,DIBANG VALLEY,february,potato
Arunachal Pradesh,DIBANG VALLEY,march,tomato
Arunachal Pradesh,DIBANG VALLEY,april,wheat 
Arunachal Pradesh,DIBANG VALLEY,may,bajra
Arunachal Pradesh,DIBANG VALLEY,june,rice
Arunachal Pradesh,DIBANG VALLEY,july,bottlegourd
Arunachal Pradesh,DIBANG VALLEY,august,okra
Arunachal Pradesh,DIBANG VALLEY,september,wheat 
Arunachal Pradesh,DIBANG VALLEY,october,bajra
Arunachal Pradesh,DIBANG VALLEY,november,rice
Arunachal Pradesh,DIBANG VALLEY,december,bottlegourd
Arunachal Pradesh,DIBANG VALLEY,june,okra
Arunachal Pradesh,DIBANG VALLEY,july,pomegrenate
Arunachal Pradesh,DIBANG VALLEY,may,groundnut
Arunachal Pradesh,DIBANG VALLEY,november,apple
Arunachal Pradesh,DIBANG VALLEY,december,mango
Arunachal Pradesh,DIBANG VALLEY,january,potato
Arunachal Pradesh,DIBANG VALLEY,february,tomato
Arunachal Pradesh,DIBANG VALLEY,march,wheat 
Arunachal Pradesh,DIBANG VALLEY,december,bajra
Arunachal Pradesh,DIBANG VALLEY,january,rice
Arunachal Pradesh,DIBANG VALLEY,january,bottlegourd
Arunachal Pradesh,DIBANG VALLEY,february,okra
Arunachal Pradesh,DIBANG VALLEY,march,wheat 
Arunachal Pradesh,DIBANG VALLEY,june,bajra
Arunachal Pradesh,DIBANG VALLEY,july,rice
Arunachal Pradesh,DIBANG VALLEY,august,bottlegourd
Arunachal Pradesh,DIBANG VALLEY,february,okra
Arunachal Pradesh,DIBANG VALLEY,march,pomegrenate
Arunachal Pradesh,DIBANG VALLEY,june,groundnut
Arunachal Pradesh,DIBANG VALLEY,july,apple
Arunachal Pradesh,DIBANG VALLEY,august,mango
Arunachal Pradesh,DIBANG VALLEY,september,potato
Arunachal Pradesh,EAST KAMENG,january,tomato
Arunachal Pradesh,EAST KAMENG,february,wheat 
Arunachal Pradesh,EAST KAMENG,march,bajra
Arunachal Pradesh,EAST KAMENG,april,rice
Arunachal Pradesh,EAST KAMENG,may,bottlegourd
Arunachal Pradesh,EAST KAMENG,june,okra
Arunachal Pradesh,EAST KAMENG,july,wheat 
Arunachal Pradesh,EAST KAMENG,august,bajra
Arunachal Pradesh,EAST KAMENG,september,rice
Arunachal Pradesh,EAST KAMENG,october,bottlegourd
Arunachal Pradesh,EAST KAMENG,november,okra
Arunachal Pradesh,EAST KAMENG,december,pomegrenate
Arunachal Pradesh,EAST KAMENG,june,groundnut
Arunachal Pradesh,EAST KAMENG,july,apple
Arunachal Pradesh,EAST KAMENG,may,mango
Arunachal Pradesh,EAST KAMENG,november,potato
Arunachal Pradesh,EAST KAMENG,december,tomato
Arunachal Pradesh,EAST KAMENG,january,wheat 
Arunachal Pradesh,EAST KAMENG,february,bajra
Arunachal Pradesh,EAST KAMENG,march,rice
Arunachal Pradesh,EAST KAMENG,december,bottlegourd
Arunachal Pradesh,EAST KAMENG,january,okra
Arunachal Pradesh,EAST KAMENG,january,wheat 
Arunachal Pradesh,EAST KAMENG,february,bajra
Arunachal Pradesh,EAST KAMENG,march,rice
Arunachal Pradesh,EAST KAMENG,june,bottlegourd
Arunachal Pradesh,EAST KAMENG,july,okra
Arunachal Pradesh,EAST KAMENG,august,pomegrenate
Arunachal Pradesh,EAST KAMENG,february,groundnut
Arunachal Pradesh,EAST KAMENG,march,apple
Arunachal Pradesh,EAST KAMENG,june,mango
Arunachal Pradesh,EAST KAMENG,july,potato
Arunachal Pradesh,EAST KAMENG,august,tomato
Arunachal Pradesh,EAST KAMENG,september,wheat 
Arunachal Pradesh,EAST SIANG,january,bajra
Arunachal Pradesh,EAST SIANG,february,rice
Arunachal Pradesh,EAST SIANG,march,bottlegourd
Arunachal Pradesh,EAST SIANG,april,okra
Arunachal Pradesh,EAST SIANG,may,wheat 
Arunachal Pradesh,EAST SIANG,june,bajra
Arunachal Pradesh,EAST SIANG,july,rice
Arunachal Pradesh,EAST SIANG,august,bottlegourd
Arunachal Pradesh,EAST SIANG,september,okra
Arunachal Pradesh,EAST SIANG,october,pomegrenate
Arunachal Pradesh,EAST SIANG,november,groundnut
Arunachal Pradesh,EAST SIANG,december,apple
Arunachal Pradesh,EAST SIANG,june,mango
Arunachal Pradesh,EAST SIANG,july,potato
Arunachal Pradesh,EAST SIANG,may,tomato
Arunachal Pradesh,EAST SIANG,november,wheat 
Arunachal Pradesh,EAST SIANG,december,bajra
Arunachal Pradesh,EAST SIANG,january,rice
Arunachal Pradesh,EAST SIANG,february,bottlegourd
Arunachal Pradesh,EAST SIANG,march,okra
Arunachal Pradesh,EAST SIANG,december,wheat 
Arunachal Pradesh,EAST SIANG,january,bajra
Arunachal Pradesh,EAST SIANG,january,rice
Arunachal Pradesh,EAST SIANG,february,bottlegourd
Arunachal Pradesh,EAST SIANG,march,okra
Arunachal Pradesh,EAST SIANG,june,pomegrenate
Arunachal Pradesh,EAST SIANG,july,groundnut
Arunachal Pradesh,EAST SIANG,august,apple
Arunachal Pradesh,EAST SIANG,february,mango
Arunachal Pradesh,EAST SIANG,march,potato
Arunachal Pradesh,EAST SIANG,june,tomato
Arunachal Pradesh,EAST SIANG,july,wheat 
Arunachal Pradesh,EAST SIANG,august,bajra
Arunachal Pradesh,EAST SIANG,september,rice
Arunachal Pradesh,KURUNG KUMEY,january,bottlegourd
Arunachal Pradesh,KURUNG KUMEY,february,okra
Arunachal Pradesh,KURUNG KUMEY,march,wheat 
Arunachal Pradesh,KURUNG KUMEY,april,bajra
Arunachal Pradesh,KURUNG KUMEY,may,rice
Arunachal Pradesh,KURUNG KUMEY,june,bottlegourd
Arunachal Pradesh,KURUNG KUMEY,july,okra
Arunachal Pradesh,KURUNG KUMEY,august,pomegrenate
Arunachal Pradesh,KURUNG KUMEY,september,groundnut
Arunachal Pradesh,KURUNG KUMEY,october,apple
Arunachal Pradesh,KURUNG KUMEY,november,mango
Arunachal Pradesh,KURUNG KUMEY,december,potato
Arunachal Pradesh,KURUNG KUMEY,june,tomato
Arunachal Pradesh,KURUNG KUMEY,july,wheat 
Arunachal Pradesh,KURUNG KUMEY,may,bajra
Arunachal Pradesh,KURUNG KUMEY,november,rice
Arunachal Pradesh,KURUNG KUMEY,december,bottlegourd
Arunachal Pradesh,KURUNG KUMEY,january,okra
Arunachal Pradesh,KURUNG KUMEY,february,wheat 
Arunachal Pradesh,KURUNG KUMEY,march,bajra
Arunachal Pradesh,KURUNG KUMEY,december,rice
Arunachal Pradesh,KURUNG KUMEY,january,bottlegourd
Arunachal Pradesh,KURUNG KUMEY,january,okra
Arunachal Pradesh,KURUNG KUMEY,february,pomegrenate
Arunachal Pradesh,KURUNG KUMEY,march,groundnut
Arunachal Pradesh,KURUNG KUMEY,june,apple
Arunachal Pradesh,KURUNG KUMEY,july,mango
Arunachal Pradesh,KURUNG KUMEY,august,potato
Arunachal Pradesh,KURUNG KUMEY,february,tomato
Arunachal Pradesh,KURUNG KUMEY,march,wheat 
Arunachal Pradesh,KURUNG KUMEY,june,bajra
Arunachal Pradesh,KURUNG KUMEY,july,rice
Arunachal Pradesh,KURUNG KUMEY,august,okra
Arunachal Pradesh,KURUNG KUMEY,september,pomegrenate
Arunachal Pradesh,LOHIT,january,groundnut
Arunachal Pradesh,LOHIT,february,apple
Arunachal Pradesh,LOHIT,march,mango
Arunachal Pradesh,LOHIT,april,potato
Arunachal Pradesh,LOHIT,may,tomato
Arunachal Pradesh,LOHIT,june,wheat 
Arunachal Pradesh,LOHIT,july,bajra
Arunachal Pradesh,LOHIT,august,rice
Arunachal Pradesh,LOHIT,september,okra
Arunachal Pradesh,LOHIT,october,pomegrenate
Arunachal Pradesh,LOHIT,november,groundnut
Arunachal Pradesh,LOHIT,december,apple
Arunachal Pradesh,LOHIT,june,mango
Arunachal Pradesh,LOHIT,july,potato
Arunachal Pradesh,LOHIT,may,tomato
Arunachal Pradesh,LOHIT,november,wheat 
Arunachal Pradesh,LOHIT,december,bajra
Arunachal Pradesh,LOHIT,january,rice
Arunachal Pradesh,LOHIT,february,okra
Arunachal Pradesh,LOHIT,march,pomegrenate
Arunachal Pradesh,LOHIT,december,groundnut
Arunachal Pradesh,LOHIT,january,apple
Arunachal Pradesh,LOHIT,january,mango
Arunachal Pradesh,LOHIT,february,potato
Arunachal Pradesh,LOHIT,march,tomato
Arunachal Pradesh,LOHIT,june,wheat 
Arunachal Pradesh,LOHIT,july,bajra
Arunachal Pradesh,LOHIT,august,rice
Arunachal Pradesh,LOHIT,february,okra
Arunachal Pradesh,LOHIT,march,pomegrenate
Arunachal Pradesh,LOHIT,june,groundnut
Arunachal Pradesh,LOHIT,july,apple
Arunachal Pradesh,LOHIT,august,mango
Arunachal Pradesh,LOHIT,september,potato
Arunachal Pradesh,LOWER DIBANG VALLEY,january,tomato
Arunachal Pradesh,LOWER DIBANG VALLEY,february,wheat 
Arunachal Pradesh,LOWER DIBANG VALLEY,march,bajra
Arunachal Pradesh,LOWER DIBANG VALLEY,april,rice
Arunachal Pradesh,LOWER DIBANG VALLEY,may,okra
Arunachal Pradesh,LOWER DIBANG VALLEY,june,pomegrenate
Arunachal Pradesh,LOWER DIBANG VALLEY,july,groundnut
Arunachal Pradesh,LOWER DIBANG VALLEY,august,apple
Arunachal Pradesh,LOWER DIBANG VALLEY,september,mango
Arunachal Pradesh,LOWER DIBANG VALLEY,october,potato
Arunachal Pradesh,LOWER DIBANG VALLEY,november,tomato
Arunachal Pradesh,LOWER DIBANG VALLEY,december,wheat 
Arunachal Pradesh,LOWER DIBANG VALLEY,june,bajra
Arunachal Pradesh,LOWER DIBANG VALLEY,july,rice
Arunachal Pradesh,LOWER DIBANG VALLEY,may,okra
Arunachal Pradesh,LOWER DIBANG VALLEY,november,pomegrenate
Arunachal Pradesh,LOWER DIBANG VALLEY,december,groundnut
Arunachal Pradesh,LOWER DIBANG VALLEY,january,apple
Arunachal Pradesh,LOWER DIBANG VALLEY,february,mango
Arunachal Pradesh,LOWER DIBANG VALLEY,march,potato
Arunachal Pradesh,LOWER DIBANG VALLEY,december,tomato
Arunachal Pradesh,LOWER DIBANG VALLEY,january,wheat 
Arunachal Pradesh,LOWER DIBANG VALLEY,january,bajra
Arunachal Pradesh,LOWER DIBANG VALLEY,february,rice
Arunachal Pradesh,LOWER DIBANG VALLEY,march,okra
Arunachal Pradesh,LOWER DIBANG VALLEY,june,pomegrenate
Arunachal Pradesh,LOWER DIBANG VALLEY,july,groundnut
Arunachal Pradesh,LOWER DIBANG VALLEY,august,apple
Arunachal Pradesh,LOWER DIBANG VALLEY,february,mango
Arunachal Pradesh,LOWER DIBANG VALLEY,march,potato
Arunachal Pradesh,LOWER DIBANG VALLEY,june,tomato
Arunachal Pradesh,LOWER DIBANG VALLEY,july,wheat 
Arunachal Pradesh,LOWER DIBANG VALLEY,august,bajra
Arunachal Pradesh,LOWER DIBANG VALLEY,september,rice
Arunachal Pradesh,TAWANG,january,okra
Arunachal Pradesh,TAWANG,february,pomegrenate
Arunachal Pradesh,TAWANG,march,groundnut
Arunachal Pradesh,TAWANG,april,apple
Arunachal Pradesh,TAWANG,may,mango
Arunachal Pradesh,TAWANG,june,potato
Arunachal Pradesh,TAWANG,july,tomato
Arunachal Pradesh,TAWANG,august,wheat 
Arunachal Pradesh,TAWANG,september,bajra
Arunachal Pradesh,TAWANG,october,rice
Arunachal Pradesh,TAWANG,november,okra
Arunachal Pradesh,TAWANG,december,pomegrenate
Arunachal Pradesh,TAWANG,june,groundnut
Arunachal Pradesh,TAWANG,july,apple
Arunachal Pradesh,TAWANG,may,mango
Arunachal Pradesh,TAWANG,november,potato
Arunachal Pradesh,TAWANG,december,tomato
Arunachal Pradesh,TAWANG,january,wheat 
